source_url,url,filename,extension,anchor_text,file_type,visible_context,appears_free_or_paid
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/Camera-Configuration-Tool/Camera-Configuration-Tool-2.18.0.2.exe,Camera-Configuration-Tool-2.18.0.2.exe,.exe,,exe,Camera Configuration Tool v2.18.0.2 264 MB Download,unknown
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/Camera-Configuration-Tool/Camera-Configuration-Tool-2.18.0.2.exe,Camera-Configuration-Tool-2.18.0.2.exe,.exe,Download,exe,Download,appears_free
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/release-notes/Camera-Configuration-Tool-CCT-Release-Notes-2.18.0.2.pdf,Camera-Configuration-Tool-CCT-Release-Notes-2.18.0.2.pdf,.pdf,,pdf,Camera Configuration Tool (CCT) Release Notes v2.18.0.2 363 KB PDF Download,unknown
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/release-notes/Camera-Configuration-Tool-CCT-Release-Notes-2.18.0.2.pdf,Camera-Configuration-Tool-CCT-Release-Notes-2.18.0.2.pdf,.pdf,Download,pdf,Download,appears_free
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/camera-configuration-tool-user-guide-en.pdf,camera-configuration-tool-user-guide-en.pdf,.pdf,,pdf,Camera Configuration Tool User Guide - English 392 KB PDF Download,unknown
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/camera-configuration-tool-user-guide-en.pdf,camera-configuration-tool-user-guide-en.pdf,.pdf,Download,pdf,Download,appears_free
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/camera-configuration-tool-user-guide-de.pdf,camera-configuration-tool-user-guide-de.pdf,.pdf,,pdf,Camera Configuration Tool User Guide - German 413 KB PDF Download,unknown
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/camera-configuration-tool-user-guide-de.pdf,camera-configuration-tool-user-guide-de.pdf,.pdf,Download,pdf,Download,appears_free
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/camera-configuration-tool-user-guide-es.pdf,camera-configuration-tool-user-guide-es.pdf,.pdf,,pdf,Camera Configuration Tool User Guide - Spanish 411 KB PDF Download,unknown
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/camera-configuration-tool-user-guide-es.pdf,camera-configuration-tool-user-guide-es.pdf,.pdf,Download,pdf,Download,appears_free
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/camera-configuration-tool-user-guide-fr.pdf,camera-configuration-tool-user-guide-fr.pdf,.pdf,,pdf,Camera Configuration Tool User Guide - French 416 KB PDF Download,unknown
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/camera-configuration-tool-user-guide-fr.pdf,camera-configuration-tool-user-guide-fr.pdf,.pdf,Download,pdf,Download,appears_free
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/camera-configuration-tool-user-guide-it.pdf,camera-configuration-tool-user-guide-it.pdf,.pdf,,pdf,Camera Configuration Tool User Guide - Italian 587 KB PDF Download,unknown
https://www.pelco.com/partners/technical-partners/videoxpert-integrations/camera-configuration-tool,https://www.pelco.com/fs/documents/camera-configuration-tool-user-guide-it.pdf,camera-configuration-tool-user-guide-it.pdf,.pdf,Download,pdf,Download,appears_free
https://www.cadgroup.com.au/autodesk-aec-collection/,https://www.cadgroup.com.au/wp-content/uploads/2025/06/Cadgroup-Autodesk-Capability-Statement-2025-1.pdf,Cadgroup-Autodesk-Capability-Statement-2025-1.pdf,.pdf,Capability Statement,pdf,Capability Statement,unknown
https://www.cadgroup.com.au/autodesk-aec-collection/,https://www.cadgroup.com.au/wp-content/uploads/2022/09/Privacy-Policy.pdf,Privacy-Policy.pdf,.pdf,Privacy,pdf,"© document.currentScript.insertAdjacentHTML('afterend', '<time datetime=""' + new Date().toJSON() + '"">' + new Intl.DateTimeFormat(document.documentElement.lang, {year: 'numeric'}).format() + '</time>'); Cadgroup. Cadgroup Australia Pty Ltd - ABN: 21 003 874 084 / Privacy / Built By Getmilk",unknown
https://www.cadgroup.com.au/autodesk-pdm-collection/,https://www.cadgroup.com.au/wp-content/uploads/2025/06/Cadgroup-Autodesk-Capability-Statement-2025-1.pdf,Cadgroup-Autodesk-Capability-Statement-2025-1.pdf,.pdf,Capability Statement,pdf,Capability Statement,unknown
